iter	Logloss
0	0.66060671
1	0.631373081
2	0.6071215947
3	0.582171086
4	0.5619515127
5	0.5401072434
6	0.5212337992
7	0.5042404431
8	0.487396635
9	0.4728226162
10	0.4580071414
11	0.4443257913
12	0.4301583314
13	0.4180268637
14	0.4051034392
15	0.3925547532
16	0.3819538625
17	0.3718530968
18	0.3623069773
19	0.3530549004
20	0.344709231
21	0.3357608692
22	0.3276387914
23	0.3192119722
24	0.3124666399
25	0.3056365059
26	0.2992279329
27	0.2926399458
28	0.2868478634
29	0.2822378536
30	0.2772928808
31	0.2728782545
32	0.2677192441
33	0.2631872061
34	0.258821712
35	0.2548430765
36	0.2506903566
37	0.2467891007
38	0.2433551033
39	0.2398471215
40	0.2368614325
41	0.2335178627
42	0.2305208628
43	0.2274558202
44	0.2248964297
45	0.2223916788
46	0.2198244912
47	0.2172005519
48	0.2149647741
49	0.2128442367
50	0.2103681478
51	0.2079642272
52	0.2058877291
53	0.2041695066
54	0.2021330603
55	0.2003097041
56	0.1985989629
57	0.1972595452
58	0.1955391512
59	0.1939447164
60	0.1922955235
61	0.1909899792
62	0.1895388743
63	0.188402203
64	0.1871197344
65	0.1858759358
66	0.1851073706
67	0.183951236
68	0.1825201471
69	0.1814128288
70	0.1803667234
71	0.1794390166
72	0.1781834729
73	0.1771441974
74	0.1761019412
75	0.1751720236
76	0.1741364197
77	0.1729965703
78	0.172204278
79	0.17148066
80	0.1707075743
81	0.170049275
82	0.1690786344
83	0.1683193271
84	0.1675347134
85	0.1669089847
86	0.1660884842
87	0.1654257139
88	0.1648351218
89	0.1641324772
90	0.1636079835
91	0.1631063484
92	0.1624104745
93	0.1616500716
94	0.1609247166
95	0.1604292402
96	0.1599551617
97	0.1593524296
98	0.1588375393
99	0.1581561248
100	0.1576911956
101	0.1571451856
102	0.1564164945
103	0.1559859124
104	0.1553751463
105	0.1549440115
106	0.1544973415
107	0.1540496352
108	0.1535234143
109	0.1531735873
110	0.1525050826
111	0.1519514037
112	0.1516189279
113	0.1513721619
114	0.1508201017
115	0.1504835398
116	0.1497772927
117	0.1492690547
118	0.1487737559
119	0.1484732881
120	0.1478987937
121	0.1476367886
122	0.147198508
123	0.1467503576
124	0.1463887559
125	0.1461736918
126	0.145811646
127	0.1454578612
128	0.1449990217
129	0.1445879326
130	0.1442597008
131	0.1439546731
132	0.1434858946
133	0.1432204647
134	0.1429719913
135	0.1425666266
136	0.1422277848
137	0.1420034628
138	0.1415934988
139	0.1413043221
140	0.1410334638
141	0.1407550649
142	0.1404625028
143	0.1402723305
144	0.1399653584
