iter	Passed	Remaining
0	212	211793
1	254	126780
2	292	97302
3	330	82290
4	368	73296
5	406	67415
6	445	63156
7	484	60095
8	522	57512
9	559	55387
10	597	53735
11	635	52316
12	673	51103
13	712	50162
14	750	49310
15	790	48618
16	832	48122
17	871	47535
18	911	47039
19	950	46560
20	987	46044
21	1027	45676
22	1065	45251
23	1103	44863
24	1141	44522
25	1180	44220
26	1218	43927
27	1257	43665
28	1297	43435
29	1340	43345
30	1379	43133
31	1419	42927
32	1460	42801
33	1499	42589
34	1537	42391
35	1576	42219
36	1614	42023
37	1652	41835
38	1691	41669
39	1728	41490
40	1767	41332
41	1807	41231
42	1846	41092
43	1886	40985
44	1925	40857
45	1965	40756
46	2004	40643
47	2042	40508
48	2080	40386
49	2119	40269
50	2157	40150
51	2196	40043
52	2234	39933
53	2273	39829
54	2311	39708
55	2350	39614
56	2388	39518
57	2427	39425
58	2466	39331
59	2504	39244
60	2544	39164
61	2581	39060
62	2619	38958
63	2657	38867
64	2695	38772
65	2733	38681
66	2771	38598
67	2810	38518
68	2848	38432
69	2886	38351
70	2924	38260
71	2961	38175
72	2999	38094
73	3037	38009
74	3075	37931
75	3114	37865
76	3152	37784
77	3189	37700
78	3227	37626
79	3265	37557
80	3304	37486
81	3342	37414
82	3380	37353
83	3419	37288
84	3457	37216
85	3495	37154
86	3534	37093
87	3571	37018
88	3610	36953
89	3648	36890
90	3685	36818
91	3724	36756
92	3762	36692
93	3799	36625
94	3839	36575
95	3877	36510
96	3915	36446
97	3953	36391
98	3992	36334
99	4031	36284
100	4069	36220
101	4106	36151
102	4144	36096
103	4182	36034
104	4221	35982
105	4262	35950
106	4300	35892
107	4338	35829
108	4376	35772
109	4414	35719
110	4453	35671
111	4492	35619
112	4532	35576
113	4569	35512
114	4606	35450
115	4644	35396
116	4681	35334
117	4719	35273
118	4758	35227
119	4795	35165
120	4833	35113
121	4871	35057
122	4909	35004
123	4946	34945
124	4983	34884
125	5020	34825
126	5059	34776
127	5096	34718
128	5133	34662
129	5172	34613
130	5209	34560
131	5246	34500
132	5284	34451
133	5322	34399
134	5359	34342
135	5398	34295
136	5436	34243
137	5473	34189
138	5511	34139
139	5550	34094
140	5587	34040
141	5624	33986
142	5662	33935
143	5699	33880
144	5737	33832
145	5775	33785
146	5813	33732
147	5851	33688
148	5888	33630
149	5925	33579
150	5964	33532
151	6001	33480
152	6038	33427
153	6077	33384
154	6115	33338
155	6152	33284
156	6189	33235
157	6226	33182
158	6263	33130
159	6300	33075
160	6336	33018
161	6372	32964
162	6408	32907
163	6445	32856
164	6482	32807
165	6519	32755
166	6556	32702
167	6594	32657
168	6634	32621
169	6670	32566
170	6708	32520
171	6745	32472
172	6781	32417
173	6818	32366
174	6856	32325
175	6892	32271
176	6931	32230
177	6967	32177
178	7003	32123
179	7041	32078
180	7077	32025
181	7114	31973
182	7150	31924
183	7187	31874
184	7223	31821
185	7260	31773
186	7296	31724
187	7333	31675
188	7370	31626
189	7408	31584
190	7445	31536
191	7482	31486
192	7518	31436
193	7555	31388
194	7593	31346
195	7629	31295
196	7666	31248
197	7703	31202
198	7740	31155
199	7776	31107
200	7815	31066
201	7852	31021
202	7889	30973
203	7925	30926
204	7962	30877
205	7998	30829
206	8035	30784
207	8072	30737
208	8109	30693
209	8147	30650
210	8184	30603
211	8220	30555
212	8258	30512
213	8294	30464
214	8330	30415
215	8366	30368
216	8403	30320
217	8439	30272
218	8475	30226
219	8511	30178
220	8548	30130
221	8584	30084
222	8622	30041
223	8658	29994
224	8695	29950
225	8732	29907
226	8769	29861
227	8805	29814
228	8841	29768
229	8879	29728
230	8916	29682
231	8951	29634
232	8988	29587
233	9024	29542
234	9060	29495
235	9096	29448
236	9134	29407
237	9170	29360
238	9206	29314
239	9243	29272
240	9280	29227
241	9316	29182
242	9353	29139
243	9390	29093
244	9427	29051
245	9465	29012
246	9502	28968
247	9538	28924
248	9575	28879
249	9611	28835
250	9649	28795
251	9686	28752
252	9722	28707
253	9760	28665
254	9796	28620
255	9832	28576
256	9871	28538
257	9907	28493
258	9944	28451
259	9982	28410
260	10018	28365
261	10054	28322
262	10092	28280
263	10128	28237
264	10167	28199
265	10204	28157
266	10242	28118
267	10278	28074
268	10315	28031
269	10351	27986
270	10388	27944
271	10424	27901
272	10460	27856
273	10496	27812
274	10534	27771
275	10569	27726
276	10605	27682
277	10643	27641
278	10680	27601
279	10717	27558
280	10754	27517
281	10790	27473
282	10826	27430
283	10865	27393
284	10902	27350
285	10938	27307
286	10975	27265
287	11011	27222
288	11047	27179
289	11084	27137
290	11120	27094
291	11156	27051
292	11193	27009
293	11229	26966
294	11266	26925
295	11304	26886
296	11341	26845
297	11378	26804
298	11415	26764
299	11452	26722
300	11489	26681
301	11527	26641
302	11564	26601
303	11600	26559
304	11638	26519
305	11674	26477
306	11712	26438
307	11751	26401
308	11787	26360
309	11824	26318
310	11861	26279
311	11899	26239
312	11935	26197
313	11973	26157
314	12009	26114
315	12045	26072
316	12082	26032
317	12118	25990
318	12155	25949
319	12194	25913
320	12231	25872
321	12267	25830
322	12304	25790
323	12340	25747
324	12376	25705
325	12413	25664
326	12450	25624
327	12486	25582
328	12524	25544
329	12561	25503
330	12597	25462
331	12635	25422
332	12671	25381
333	12708	25341
334	12745	25300
335	12781	25259
336	12818	25219
337	12856	25180
338	12893	25141
339	12931	25101
340	12967	25060
341	13007	25026
342	13044	24986
343	13081	24945
344	13117	24904
345	13154	24864
346	13190	24822
347	13228	24784
348	13266	24745
349	13303	24705
350	13340	24665
351	13378	24628
352	13415	24588
353	13452	24548
354	13489	24508
355	13526	24468
356	13562	24427
357	13600	24388
358	13637	24349
359	13674	24310
360	13711	24270
361	13748	24231
362	13785	24191
363	13822	24151
364	13858	24110
365	13897	24073
366	13935	24035
367	13972	23995
368	14008	23955
369	14045	23915
370	14082	23876
371	14119	23836
372	14157	23798
373	14195	23760
374	14233	23722
375	14271	23685
376	14308	23644
377	14344	23604
378	14381	23563
379	14417	23523
380	14455	23485
381	14491	23444
382	14527	23403
383	14564	23363
384	14600	23322
385	14636	23282
386	14673	23241
387	14709	23201
388	14745	23160
389	14782	23121
390	14818	23081
391	14855	23040
392	14891	23000
393	14929	22962
394	14965	22921
395	15003	22883
396	15039	22843
397	15075	22802
398	15116	22770
399	15153	22729
400	15189	22689
401	15226	22651
402	15264	22612
403	15312	22589
404	15355	22558
405	15393	22521
406	15432	22484
407	15471	22448
408	15507	22407
409	15545	22370
410	15581	22330
411	15618	22290
412	15655	22251
413	15693	22213
414	15730	22174
415	15767	22134
416	15804	22095
417	15841	22057
418	15879	22019
419	15916	21979
420	15953	21941
421	15991	21902
422	16027	21862
423	16064	21823
424	16101	21784
425	16138	21744
426	16175	21705
427	16212	21667
428	16248	21627
429	16285	21587
430	16321	21547
431	16363	21515
432	16400	21475
433	16437	21437
434	16474	21397
435	16510	21358
436	16547	21318
437	16583	21278
438	16620	21239
439	16656	21199
440	16693	21159
441	16729	21120
442	16766	21081
443	16803	21041
444	16841	21004
445	16878	20965
446	16915	20927
447	16953	20888
448	16989	20849
449	17026	20809
450	17062	20770
451	17099	20731
452	17136	20692
453	17172	20652
454	17209	20613
455	17246	20574
456	17282	20534
457	17320	20497
458	17362	20464
459	17400	20426
460	17439	20389
461	17476	20351
462	17513	20312
463	17550	20273
464	17586	20233
465	17623	20194
466	17660	20156
467	17696	20117
468	17734	20079
469	17773	20041
470	17809	20002
471	17846	19963
472	17884	19926
473	17921	19887
474	17958	19848
475	17995	19810
476	18032	19771
477	18069	19732
478	18106	19693
479	18143	19655
480	18179	19616
481	18217	19577
482	18254	19539
483	18291	19501
484	18328	19461
485	18366	19424
486	18402	19385
487	18438	19345
488	18475	19306
489	18512	19268
490	18550	19230
491	18586	19190
492	18623	19152
493	18659	19113
494	18695	19073
495	18733	19036
496	18770	18996
497	18806	18957
498	18844	18919
499	18881	18881
500	18918	18843
501	18955	18804
502	18991	18765
503	19028	18726
504	19065	18688
505	19101	18648
506	19138	18610
507	19176	18572
508	19212	18532
509	19249	18494
510	19286	18456
511	19324	18418
512	19363	18381
513	19401	18345
514	19440	18307
515	19476	18269
516	19513	18230
517	19551	18192
518	19588	18154
519	19626	18116
520	19662	18077
521	19700	18040
522	19737	18001
523	19774	17962
524	19811	17924
525	19848	17886
526	19885	17848
527	19923	17810
528	19960	17772
529	19997	17733
530	20035	17695
531	20072	17657
532	20109	17619
533	20146	17580
534	20182	17542
535	20220	17504
536	20258	17466
537	20294	17428
538	20331	17388
539	20367	17350
540	20405	17312
541	20441	17273
542	20478	17234
543	20515	17196
544	20551	17157
545	20587	17118
546	20624	17080
547	20660	17041
548	20697	17002
549	20735	16965
550	20770	16925
551	20807	16886
552	20844	16848
553	20880	16809
554	20918	16772
555	20954	16733
556	20990	16694
557	21027	16656
558	21063	16617
559	21100	16579
560	21138	16541
561	21174	16502
562	21210	16463
563	21247	16425
564	21283	16386
565	21321	16348
566	21359	16311
567	21396	16273
568	21434	16235
569	21470	16197
570	21508	16159
571	21545	16121
572	21581	16082
573	21618	16044
574	21654	16005
575	21692	15968
